Tahun Rilis,Rank,Nama Game,Diskon,Harga,Rating,Tanggal Rilis,Followers,Online Saat Ini,Peak Pemain
2021,951.,MELTY BLOOD: TYPE LUMINA,-70%,Rp 62999,85.94%,30 Sep,"42,798",116,"13,182"
2021,962.,Mini Motorways,0%,Rp 69999,93.89%,20 Jul,"36,529",577,"9,914"
2021,964.,Mortal Shell,0%,Rp 158000,67.21%,18 Aug,"51,962",254,"1,931"
2021,969.,PICO PARK,0%,Rp 39999,88.93%,07 May,"59,968",152,"16,802"
2021,986.,Resident Evil Village,0%,Rp 553999,94.26%,07 May,"189,811","3,401","106,631"
2021,991.,Atelier Sophie: The Alchemist of the Mysterious Book DX,-50%,Rp 256500,84.74%,22 Apr,"7,690",43,530
2021,1005.,BLUE REFLECTION: Second Light,-60%,Rp 388000,77.58%,09 Nov,"17,534",14,675
2021,1011.,VTube Studio,0%,Free,89.55%,12 Mar,"50,350","7,670","21,472"
2021,1024.,TrackDayR,0%,Rp 350000,80.49%,17 Mar,"4,271",116,345
2021,1025.,Dead by Daylight - Terror Expansion Pack,-50%,Rp 137445,69.79%,15 Jun,—,—,—
2021,1027.,Inscryption,0%,Rp 119999,95.54%,19 Oct,"122,362",859,"17,072"
2021,1055.,Carnal Instinct,0%,Rp 245999,80.67%,01 Mar,"81,460",89,924
2021,1064.,Library Of Ruina,0%,Rp 139999,92.22%,10 Aug,"77,753","1,093","8,015"
2021,1074.,Pathfinder: Wrath of the Righteous - Enhanced Edition,-27%,Rp 196084,82.50%,02 Sep,"120,970","1,861","46,724"
2021,1119.,Unpacking,0%,Rp 108999,91.31%,02 Nov,"65,706",168,"2,512"
2021,1124.,BIOMUTANT,-75%,Rp 93000,65.26%,25 May,"190,801",73,"55,048"
2021,1138.,Chicory: A Colorful Tale,-50%,Rp 82999,93.65%,10 Jun,"11,322",42,353
2021,1157.,Crysis Remastered,-65%,Rp 48999,74.59%,17 Sep,"17,887",74,"1,244"
2021,1160.,Dyson Sphere Program,0%,Rp 129029,96.09%,21 Jan,"242,305","2,129","59,815"
2021,1179.,Saints Row®: The Third™ Remastered,-85%,Rp 48150,68.44%,21 May,"9,118",190,"1,560"
2021,1188.,Clone Drone in the Danger Zone,-65%,Rp 38149,94.81%,27 Jul,"32,190",299,"1,944"
2021,1198.,The Sims™ 4 Dream Home Decorator Game Pack,-30%,Rp 167300,48.95%,01 Jun,—,—,—
2021,1210.,Operation: Tango,-55%,Rp 96328,84.81%,01 Jun,"28,329",47,"1,073"
2021,1214.,Dead by Daylight - Escape Expansion Pack,-50%,Rp 137445,64.01%,15 Jun,—,—,—
2021,1225.,ROUNDS,0%,Rp 50000,93.31%,01 Apr,"20,700",767,"2,269"
2021,1228.,Lost in Random™,-85%,Rp 56850,85.84%,10 Sep,"21,325",71,508
2021,1237.,Goose Goose Duck,0%,Free,85.41%,03 Oct,"119,731","1,549","702,845"
2021,1266.,"Warhammer 40,000: Battlesector",0%,Rp 299999,85.24%,22 Jul,"44,794",190,"2,598"
2021,1275.,Cookie Clicker,0%,Rp 47499,95.08%,01 Sep,"23,886","8,728","67,867"
2021,1308.,Len's Island Full Soundtrack,0%,Rp 56499,64.08%,26 Nov,—,—,—
2021,1309.,VTube Studio - Remove Watermark,0%,Rp 95999,81.18%,12 Mar,—,—,—
2021,1351.,Paint the Town Red,0%,Rp 165999,93.82%,29 Jul,"57,126",196,"1,423"
2021,1367.,Outer Wilds - Echoes of the Eye,0%,Rp 125999,87.98%,28 Sep,—,—,—
2021,1381.,Arma 3 Creator DLC: S.O.G. Prairie Fire,0%,Rp 179999,80.51%,06 May,—,—,—
2021,1401.,Assetto Corsa Competizione - British GT Pack,-60%,Rp 69960,85.17%,10 Feb,—,—,—
2021,1409.,Monster Rancher 1 & 2 DX,-35%,Rp 282100,84.90%,09 Dec,"11,227",96,"1,411"
2021,1421.,Ys IX: Monstrum Nox,-50%,Rp 244499,89.83%,06 Jul,"14,993",26,"1,365"
2021,1459.,Euro Truck Simulator 2 - Iberia,0%,Rp 162999,75.20%,08 Apr,—,—,—
2022,24.,Victoria 3,-70%,Rp 161099,66.21%,25 Oct,"172,256","13,275","70,100"
2022,39.,ELDEN RING,0%,Rp 599000,92.24%,24 Feb,"1,084,633","31,739","953,426"
2022,47.,Mount & Blade II: Bannerlord,-50%,Rp 274500,87.01%,25 Oct,"864,246","16,925","248,216"
2022,58.,DEATH STRANDING DIRECTOR'S CUT,-60%,Rp 215999,91.08%,30 Mar,"90,087","4,616","8,560"
2022,61.,Call of Duty®: Warzone™,0%,Free,32.05%,16 Nov,—,—,—
2022,86.,Lost Ark,0%,Free,70.45%,11 Feb,"278,128","10,253","1,325,305"
2022,103.,Yu-Gi-Oh! Master Duel,0%,Free,73.29%,19 Jan,"71,528","11,549","262,689"
2022,123.,Raft,0%,Rp 135999,92.37%,20 Jun,"631,935","4,951","101,096"
2022,159.,SurrounDead,0%,Rp 106999,87.19%,24 Jun,"37,812","1,614","4,151"
2022,169.,Total War: WARHAMMER III,0%,Rp 648999,72.21%,17 Feb,"275,912","15,942","166,754"
2022,177.,Call of Duty®,0%,—,58.60%,28 Oct,"639,110","65,091","491,670"
2022,187.,Teardown,-50%,Rp 144500,94.23%,21 Apr,"205,189","1,797","8,339"
2022,200.,HITMAN World of Assassination,-80%,Rp 49199,84.61%,20 Jan,"104,017","3,003","10,925"
2022,209.,"Warhammer 40,000: Darktide",0%,Rp 439999,70.37%,30 Nov,"202,803","7,680","108,395"
2022,211.,Grounded,0%,Rp 459000,88.11%,27 Sep,"319,055","6,435","32,012"
2022,232.,Guild Wars 2,0%,Free,86.86%,23 Aug,"82,691","3,440","8,324"
2022,256.,Chivalry 2,-80%,Rp 33999,78.90%,12 Jun,"115,787","2,664","16,959"
2022,275.,Tactics Ogre: Reborn,-60%,Rp 259600,72.44%,11 Nov,"40,343",454,"10,677"
2022,276.,Slime Rancher 2,-34%,Rp 151800,92.38%,22 Sep,"143,940",613,"21,524"
2022,287.,Need for Speed™ Unbound,-86%,Rp 106260,59.88%,02 Dec,"76,754",761,"14,063"
2022,291.,PowerWash Simulator,0%,Rp 349000,95.10%,14 Jul,"81,218","2,387","14,178"
2022,292.,Backrooms: Escape Together,0%,Rp 90999,85.76%,18 Oct,"44,429",635,"4,965"
2022,298.,Steam Deck Dock,0%,—,—,06 Oct,296,—,—
2022,323.,Dying Light 2 Stay Human: Reloaded Edition,0%,Rp 374497,78.29%,04 Feb,"425,432","4,507","274,983"
2022,335.,FINAL FANTASY VII REMAKE INTERGRADE,0%,Rp 579000,87.00%,17 Jun,"142,728","1,004","13,803"
2022,336.,Escape the Backrooms,0%,Rp 69999,89.73%,11 Aug,"114,165",912,"16,529"
2022,346.,RimWorld - Biotech,0%,Rp 206999,89.41%,21 Oct,—,—,—
2022,348.,Call of the Wild: The Angler™,-70%,Rp 73799,61.60%,31 Aug,"28,217",307,"9,995"
2022,354.,Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,-70%,Rp 113700,88.57%,16 May,"45,421","1,260","9,670"
2022,420.,Way of the Hunter,-50%,Rp 122999,77.62%,16 Aug,"37,001",249,"9,880"
2022,421.,Dead by Daylight - Resident Evil: PROJECT W Chapter,-30%,Rp 92323,73.55%,30 Aug,—,—,—
2022,431.,Stranded Deep,0%,Rp 108999,73.49%,11 Aug,"347,712",523,"6,036"
2022,439.,STALCRAFT: X,0%,Free,74.56%,09 Dec,"61,091","3,296","40,311"
2022,449.,MX vs ATV Legends,-75%,Rp 93000,74.34%,28 Jun,"8,207",277,464
2022,451.,Cult of the Lamb,0%,Rp 149999,94.23%,11 Aug,"229,994","1,497","61,780"
2022,462.,The Callisto Protocol™,-85%,Rp 67499,64.31%,02 Dec,"89,525",269,"17,580"
2022,480.,NOBUNAGA'S AMBITION: Awakening,-50%,Rp 385000,71.23%,20 Jul,"22,584","1,220","11,783"
2022,506.,Vampire Survivors,0%,Rp 44999,97.31%,20 Oct,"128,868","2,924","77,061"
2022,538.,Expansion - Hearts of Iron IV: By Blood Alone,-30%,Rp 150499,36.09%,27 Sep,—,—,—
2022,552.,We Who Are About To Die,-40%,Rp 107999,85.68%,14 Nov,"56,485",433,"2,266"
2022,556.,Persona 5 Royal,0%,Rp 798000,95.18%,21 Oct,"143,011","4,287","35,474"
2022,557.,The Sims™ 4 High School Years Expansion Pack,-50%,Rp 239500,45.71%,28 Jul,—,—,—
2022,572.,Marvel’s Spider-Man Remastered,0%,Rp 879000,94.52%,12 Aug,"190,061","1,136","66,436"
2022,583.,There Is No Light: Enhanced Edition,-65%,Rp 58099,69.59%,19 Sep,"22,130",34,612
2022,614.,Construction Simulator,0%,Rp 299999,78.94%,20 Sep,"58,449",411,"17,365"
2022,637.,Foxhole,0%,Rp 139999,82.36%,28 Sep,"192,602","2,724","11,791"
2022,638.,God of War,0%,Rp 729000,94.75%,14 Jan,"282,868","1,385","73,529"
2022,643.,Police Simulator: Patrol Officers,0%,Rp 245999,76.33%,10 Nov,"84,053",229,"3,330"
2022,649.,Ship of Fools,-60%,Rp 87999,79.19%,22 Nov,"31,589",175,"2,324"
2022,657.,Atelier Sophie 2: The Alchemist of the Mysterious Dream,-50%,Rp 385000,90.15%,25 Feb,"20,304",49,"3,622"
2022,700.,Captain of Industry,0%,Rp 284999,91.20%,31 May,"70,441","2,772","11,121"
2022,754.,HARVESTELLA,-60%,Rp 299600,75.06%,04 Nov,"33,839",80,"3,395"
2022,777.,Tiny Tina's Wonderlands,0%,Rp 377700,69.46%,23 Jun,"102,950",785,"15,021"
2022,785.,theHunter: Call of the Wild™ - Revontuli Coast,-60%,Rp 29600,73.15%,28 Jun,—,—,—
2022,790.,Call of Duty®: Modern Warfare® II,0%,Rp 1040000,25.39%,28 Oct,—,—,—
2022,792.,Destroy All Humans! 2 - Reprobed,-75%,Rp 93000,75.10%,30 Aug,"21,014",58,"2,870"
2022,828.,Risk of Rain 2: Survivors of the Void,0%,Rp 80999,84.98%,01 Mar,—,—,—
2022,859.,PlateUp!,0%,Rp 165999,92.71%,04 Aug,"40,279","1,150","12,460"
2022,864.,Stray,0%,Rp 237999,95.97%,19 Jul,"361,647",354,"62,963"
2022,876.,Dead by Daylight - Sadako Rising Chapter,-50%,Rp 43945,62.18%,08 Mar,—,—,—
2022,878.,Expansion Starter Pack - Guild Wars 2: Heart of Thorns™ and Path of Fire™,0%,Rp 435553,77.00%,23 Aug,—,—,—
2022,884.,Call of Duty®: Black Ops 6 or Call of Duty®: Warzone™ Points,0%,Rp 29700,—,16 Nov,—,—,—
2022,887.,SCP: 5K,0%,Rp 165999,78.53%,22 Feb,"91,193",148,"1,965"
2022,903.,X-Plane 12,0%,Rp 449999,81.17%,17 Dec,"26,736",425,980
2022,929.,Thymesia,-66%,Rp 62899,81.67%,18 Aug,"53,276",41,"3,224"
2022,931.,The Sims™ 4 Werewolves Game Pack,-30%,Rp 167300,70.63%,16 Jun,—,—,—
2022,947.,A Little to the Left,0%,Rp 129999,89.62%,08 Nov,"42,868",303,"2,832"
2022,970.,Expeditions: Rome,-67%,Rp 133367,85.49%,20 Jan,"46,303",106,"9,765"
2022,981.,theHunter: Call of the Wild™ - Modern Rifle Pack,-60%,Rp 15199,78.30%,22 Feb,—,—,—
2022,994.,Out of Ore,0%,Rp 206999,83.76%,31 Oct,"15,014",338,"1,915"
2022,997.,暖雪 Warm Snow,-30%,Rp 73499,91.26%,19 Jan,"82,011",323,"44,702"
2022,1003.,House Party,0%,Rp 219999,84.23%,16 Jul,"131,189",138,"1,800"
2022,1007.,Asphalt Legends Unite,0%,Free,79.71%,02 Aug,"15,880",828,"1,982"
2022,1014.,UNCHARTED™: Legacy of Thieves Collection,0%,Rp 729000,88.29%,19 Oct,"131,247",362,"10,851"
2022,1017.,High On Life,0%,Rp 249999,86.90%,13 Dec,"89,211",221,"11,608"
2022,1019.,Dwarf Fortress,0%,Rp 245999,92.90%,06 Dec,"192,649",885,"28,340"
2022,1034.,NEO: The World Ends with You,-60%,Rp 351600,87.04%,19 Oct,"9,560",28,258
2022,1037.,Kaiju Princess,-35%,Rp 64999,93.25%,22 Jun,"36,779",66,"1,102"
2022,1056.,BONELAB,0%,Rp 299999,77.66%,29 Sep,"39,523",261,"11,991"
2022,1060.,ヘブンバーンズレッド,0%,Free,83.23%,10 Aug,"18,179","1,012","20,201"
2022,1065.,FINAL FANTASY VI,0%,Rp 239000,88.09%,23 Feb,"19,355",278,"4,556"
2022,1084.,The Riftbreaker: Metal Terror,-30%,Rp 63699,73.79%,18 Jul,—,—,—
2022,1098.,Assetto Corsa Competizione - American Track Pack,-60%,Rp 91600,71.02%,30 Jun,—,—,—
2022,1099.,The Mortuary Assistant,0%,Rp 119999,89.34%,02 Aug,"35,167",72,"1,399"
2022,1101.,WARRIORS OROCHI 3 Ultimate Definitive Edition,-30%,Rp 359100,85.39%,12 Jul,"15,938",80,"2,996"
2022,1105.,Assassin's Creed Valhalla,0%,Rp 619000,68.73%,06 Dec,"73,691",902,"15,679"
2022,1109.,Knights of Honor II: Sovereign,-67%,Rp 131670,74.87%,06 Dec,"61,044",160,"6,061"
2022,1135.,Marvel's Midnight Suns,-80%,Rp 218000,79.86%,02 Dec,"60,139",450,"15,500"
2022,1136.,Sniper Elite 5,0%,Rp 209999,81.54%,26 May,"80,464",884,"14,870"
2022,1141.,Settlement Survival,-50%,Rp 54499,84.12%,24 Oct,"71,425",238,"5,613"
2022,1172.,Tower of Fantasy,0%,Free,67.76%,20 Oct,"78,190",350,"7,210"
2022,1180.,Marvel’s Spider-Man: Miles Morales,0%,Rp 729000,91.49%,18 Nov,"113,921",390,"13,539"
2022,1190.,The Stanley Parable: Ultra Deluxe,0%,Rp 119999,92.28%,27 Apr,"56,319",73,"13,802"
2022,1213.,Battle Teams 2,0%,Free,55.96%,21 Jul,"24,211",249,"7,987"
2022,1240.,DSX,0%,Rp 74000,66.93%,24 Jun,"10,909","5,043","8,794"
2022,1264.,POSTAL: Brain Damaged,-75%,Rp 41499,92.71%,09 Jun,"18,441",60,764
2022,1265.,Stacklands,0%,Rp 73999,94.16%,08 Apr,"43,378",267,"5,186"
2022,1279.,NEEDY STREAMER OVERLOAD,0%,Rp 99999,92.97%,21 Jan,"108,777",147,"3,674"
2022,1291.,RealFlight Evolution,0%,Rp 1656012,82.94%,27 Oct,"4,602",527,912
2022,1310.,We Were Here Forever,0%,Rp 152999,89.19%,10 May,"43,069",124,"8,390"
2023,16.,ARK: Survival Ascended,-50%,Rp 357500,58.49%,26 Oct,"199,262","33,168","98,047"
2023,33.,Magic: The Gathering Arena,0%,Free,62.54%,23 May,"13,809","10,400","18,047"
2023,37.,STAR WARS Jedi: Survivor™,-80%,Rp 151800,68.26%,28 Apr,"134,073","3,561","67,855"
2023,45.,Baldur's Gate 3,0%,Rp 699999,96.05%,03 Aug,"940,808","59,299","875,343"
2023,57.,DREDGE,-50%,Rp 103499,93.98%,30 Mar,"131,393","2,181","12,686"
2023,59.,DAVE THE DIVER,-40%,Rp 99599,95.60%,28 Jun,"208,635","6,106","98,480"
2023,68.,Dead Space,-80%,Rp 131800,89.11%,27 Jan,"115,619",946,"30,925"
2023,71.,Lies of P,0%,Rp 870000,90.38%,18 Sep,"147,720","6,819","30,095"
2023,72.,THE FINALS,0%,Free,77.06%,08 Dec,"347,512","15,173","242,619"
2023,75.,Disney Dreamlight Valley,-30%,Rp 367500,89.86%,05 Dec,"71,233","4,431","14,314"
2023,84.,Mortal Kombat 1,-67%,Rp 260700,68.93%,19 Sep,"96,721","1,559","38,129"
2023,92.,Arma Reforger,0%,Rp 482798,75.36%,16 Nov,"95,098","10,091","23,050"
2023,100.,Wandering Sword,-20%,Rp 165599,92.91%,15 Sep,"68,846","5,833","22,824"
2023,102.,Ready or Not,0%,Rp 255999,88.28%,13 Dec,"492,023","4,991","55,174"
2023,104.,Street Fighter™ 6,0%,Rp 490000,83.62%,02 Jun,"141,081","10,227","70,573"
2023,117.,Limbus Company,0%,Free,82.85%,26 Feb,"41,787","16,017","80,901"
2023,149.,Blasphemous 2,-50%,Rp 174999,88.94%,24 Aug,"41,846",359,"9,055"
2023,153.,Cyberpunk 2077: Phantom Liberty,0%,Rp 349999,88.19%,25 Sep,—,—,—
2023,183.,Tom Clancy’s The Division® 2,0%,Rp 349000,75.16%,12 Jan,"44,478","4,631","14,858"
2023,190.,Overwatch® 2,0%,Free,24.59%,10 Aug,"99,261","25,653","75,608"
2023,196.,Cities: Skylines II,0%,Rp 536999,52.38%,24 Oct,"311,895","5,088","104,697"
2023,212.,Grand Theft Auto: San Andreas – The Definitive Edition,-60%,Rp 259600,75.15%,19 Jan,"28,292",554,"1,932"
2023,229.,Diablo® IV,0%,Rp 744000,65.01%,17 Oct,"131,537","3,831","55,561"
2023,236.,The Last of Us™ Part I,0%,Rp 879000,79.18%,28 Mar,"218,661","1,874","36,496"
2023,237.,Lethal Company,0%,Rp 90999,96.26%,23 Oct,"313,457","6,711","240,817"
2023,242.,House Flipper 2,0%,Rp 299999,83.15%,14 Dec,"73,394","2,127","21,945"
2023,249.,"Warhammer 40,000: Rogue Trader",0%,Rp 375999,84.05%,07 Dec,"118,978","2,469","45,405"
2023,278.,Sun Haven,-50%,Rp 103499,80.85%,11 Mar,"93,534","1,720","12,706"
2023,294.,Resident Evil 4,0%,Rp 595999,96.46%,24 Mar,"266,014","7,383","168,191"
2023,299.,Contraband Police,-52%,Rp 124799,92.65%,08 Mar,"87,530",549,"8,124"
2023,304.,Age of Wonders 4,0%,Rp 536999,80.03%,02 May,"95,366","1,498","42,877"
2023,310.,Party Animals,0%,Rp 205000,77.50%,20 Sep,"632,266","1,606","104,174"
2023,314.,Football Manager 2024,0%,Rp 649999,88.87%,06 Nov,"62,659","27,796","89,478"
2023,327.,Starfield,0%,Rp 759000,56.56%,06 Sep,"469,179","3,715","330,723"
2023,345.,RIDE 5,-80%,Rp 165800,76.87%,24 Aug,"14,057",313,957
2023,352.,Total War: PHARAOH,-75%,Rp 89750,62.61%,11 Oct,"42,697",135,"5,424"
2023,356.,STAR OCEAN THE SECOND STORY R,-50%,Rp 364500,90.52%,02 Nov,"25,684",148,"8,028"
2023,377.,Against the Storm,-50%,Rp 99999,92.98%,08 Dec,"124,437","1,002","12,832"
2023,380.,Hero's Land,0%,Free,54.66%,18 May,"11,905","3,095","37,249"
2023,389.,Trepang2,-50%,Rp 174999,90.99%,21 Jun,"55,429",233,"1,911"
2023,396.,Atelier Ryza 3: Alchemist of the End & the Secret Key,-50%,Rp 385000,87.17%,24 Mar,"28,025",76,"7,162"
2023,408.,Fate/Samurai Remnant,-50%,Rp 385000,88.02%,29 Sep,"51,687",108,"9,335"
2023,410.,Aimlabs,0%,Free,90.96%,17 Jun,"164,594","3,847","15,141"
2023,413.,Hogwarts Legacy,0%,Rp 799000,89.33%,10 Feb,"670,251","5,242","879,308"
2023,450.,The Sims™ 4 Horse Ranch Expansion Pack,-50%,Rp 239500,49.41%,20 Jul,—,—,—
2023,455.,Wartales,0%,Rp 379999,87.80%,12 Apr,"199,606","1,259","35,879"
2023,456.,Eternal Return,0%,Free,78.42%,20 Jul,"91,931","2,538","52,853"
2023,466.,Attack on Titan 2 - A.O.T.2,-50%,Rp 385000,90.07%,27 Apr,"42,885",193,"1,385"
2023,483.,Hero's Adventure: Road to Passion,-40%,Rp 91799,82.64%,16 Nov,"92,726","1,100","28,936"
2023,493.,Call of Duty®: Modern Warfare® III,0%,Rp 1050000,33.54%,10 Nov,—,—,—
2023,508.,Quasimorph,0%,Rp 165999,79.76%,02 Oct,"36,810",358,"1,273"
2023,509.,Wo Long: Fallen Dynasty,-40%,Rp 307800,48.65%,03 Mar,"100,586",192,"75,906"
2023,514.,Dead by Daylight - Alien Chapter Pack,-50%,Rp 65945,61.94%,29 Aug,—,—,—
2023,521.,Expansion - Hearts of Iron IV: Arms Against Tyranny,-20%,Rp 171999,55.83%,10 Oct,—,—,—
2023,534.,The Sims™ 4 Growing Together Expansion Pack,-50%,Rp 239500,62.43%,16 Mar,—,—,—
2023,545.,Gorilla Tag,0%,Rp 165999,89.84%,01 Jan,"62,833",906,"2,701"
2023,547.,theHunter: Call of the Wild™ - Emerald Coast Australia,-55%,Rp 33300,82.24%,20 Jun,—,—,—
2023,549.,MY HERO ULTRA RUMBLE,0%,Free,65.55%,28 Sep,"35,339","2,140","46,591"
2023,553.,Tom Clancy's Ghost Recon® Breakpoint,0%,Rp 619000,72.18%,23 Jan,"58,583","1,253","14,382"
2023,554.,The Sims™ 4 For Rent Expansion Pack,-50%,Rp 239500,37.41%,07 Dec,—,—,—
2023,564.,Stranded: Alien Dawn,-50%,Rp 142499,82.77%,25 Apr,"107,024",652,"8,792"
2023,566.,WitchSpring R,-35%,Rp 219700,93.12%,26 Sep,"37,936",152,"4,117"
2023,576.,Snowbreak: Containment Zone,0%,Free,75.62%,25 Dec,"22,223",500,"9,964"
2023,591.,REMNANT II®,0%,Rp 529999,82.01%,25 Jul,"147,108","1,254","110,856"
2023,594.,theHunter: Call of the Wild™ - Labrador Retriever,-40%,Rp 33899,67.23%,28 Nov,—,—,—
2023,607.,Wee Tanks!,-50%,Rp 45499,85.23%,16 May,"1,834",74,109
2023,620.,Ghostrunner 2,-75%,Rp 99999,78.67%,26 Oct,"31,043",95,"2,264"
2023,644.,Jagged Alliance 3,-50%,Rp 199999,87.21%,14 Jul,"62,974",336,"25,366"
2023,664.,Railway Empire 2,-45%,Rp 313499,70.28%,25 May,"19,578",244,"3,104"
2023,667.,Thief Simulator 2,-52%,Rp 79679,86.87%,04 Oct,"30,867",220,"4,152"
2023,672.,ARMORED CORE™ VI FIRES OF RUBICON™,0%,Rp 599000,90.02%,24 Aug,"211,333",943,"156,171"
2023,687.,Handyman Legend,0%,Rp 52999,85.84%,10 Mar,"15,583",102,"1,002"
2023,691.,Brotato,0%,Rp 47499,95.16%,23 Jun,"76,229","3,907","38,905"
2023,699.,Company of Heroes 3,0%,Rp 449999,56.68%,23 Feb,"141,755","1,820","36,646"
2023,720.,Trine 5: A Clockwork Conspiracy,-50%,Rp 122999,87.83%,31 Aug,"19,491",29,"1,584"
2023,733.,Super Bunny Man,-40%,Rp 78000,84.36%,16 May,"63,579",80,"1,343"
2023,735.,Voidtrain,-30%,Rp 172199,72.97%,09 May,"112,132",149,"7,824"
2023,745.,Call of Duty®: Modern Warfare®,0%,Rp 891000,77.79%,08 Mar,"44,121",397,"3,581"
2023,763.,Last Train Home,-50%,Rp 149999,84.01%,28 Nov,"63,939",93,"5,664"
2023,764.,Dead by Daylight - Nicolas Cage Chapter Pack,-50%,Rp 54945,84.10%,25 Jul,—,—,—
2023,767.,Forza Motorsport,0%,Rp 759000,48.16%,10 Oct,"33,749",849,"4,703"
2023,774.,Moonstone Island,-50%,Rp 82999,81.34%,20 Sep,"45,322",596,"3,451"
2023,775.,PAYDAY 3,0%,Rp 321000,43.80%,21 Sep,"183,534",400,"77,938"
2023,783.,FATAL FRAME / PROJECT ZERO: Mask of the Lunar Eclipse,-30%,Rp 263199,86.00%,09 Mar,"18,044",24,"1,372"
2023,801.,Victoria 3: Voice of the People,-40%,Rp 96599,28.39%,22 May,—,—,—
2023,823.,Planet of Lana,0%,Rp 164998,90.24%,23 May,"46,028",129,473
2023,826.,Sunkenland,0%,Rp 165999,80.19%,26 Aug,"152,571",534,"26,154"
2023,837.,theHunter: Call of the Wild™  - Ambusher Pack,-50%,Rp 23749,67.45%,10 Oct,—,—,—
2023,844.,SpellForce: Conquest of Eo,-60%,Rp 98399,77.87%,03 Feb,"24,780",113,"3,669"
2023,850.,Euro Truck Simulator 2 - West Balkans,0%,Rp 162999,81.20%,19 Oct,—,—,—
2023,855.,Trackmania,0%,Free,75.79%,02 Feb,"7,997","1,235","22,128"
2023,867.,Poly Bridge 3,-50%,Rp 82999,91.24%,30 May,"9,794",85,"1,147"
2023,871.,Demonologist,0%,Rp 165999,84.33%,25 Sep,"70,992",211,"8,806"
2023,877.,MARVEL SNAP,0%,Free,74.03%,22 Aug,"18,317","2,399","18,967"
2023,883.,Slay the Princess — The Pristine Cut,0%,Rp 152999,94.87%,23 Oct,"53,039",186,"2,583"
2023,905.,Forspoken,-70%,Rp 308700,61.43%,24 Jan,"76,177",33,"12,579"
2023,909.,HOT WHEELS UNLEASHED™ 2 - Turbocharged,-85%,Rp 104850,71.07%,19 Oct,"5,769",59,308
2023,911.,DREDGE - The Pale Reach,-25%,Rp 42749,68.82%,16 Nov,—,—,—
2023,914.,Barotrauma,0%,Rp 249999,92.36%,13 Mar,"143,530","2,344","19,655"
2023,918.,The Arrogant Kaiju Princess and The Detective Servant,-15%,Rp 111349,93.21%,21 Dec,"24,846",43,"1,907"
2024,9.,Black Myth: Wukong,-20%,Rp 559999,95.96%,20 Aug,"1,367,784","14,021","2,415,714"
2024,15.,EA SPORTS FC™ 25,-80%,Rp 47800,49.84%,27 Sep,"80,042","39,452","110,026"
2024,25.,HELLDIVERS™ 2,0%,Rp 579000,76.45%,08 Feb,"450,746","44,306","458,709"
2024,28.,Marvel Rivals,0%,Free,78.53%,06 Dec,"217,814","94,064","644,269"
2024,36.,NBA 2K25,-80%,Rp 177800,57.93%,28 Oct,"47,557","18,188","56,948"
2024,44.,Once Human,0%,Free,73.42%,09 Jul,"257,250","20,170","231,668"
2024,51.,Red Dead Redemption,-40%,Rp 437400,89.61%,29 Oct,"82,171","1,172","8,697"
2024,54.,Palworld,-25%,Rp 184499,93.18%,19 Jan,"589,557","20,003","2,101,867"
2024,64.,KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,-40%,Rp 341400,81.53%,13 Jun,"28,761","1,236","11,152"
2024,69.,Delta Force,0%,Free,62.80%,04 Dec,"281,950","48,451","162,436"
2024,87.,Hades II,-10%,Rp 221399,93.31%,06 May,"245,144","11,387","103,567"
2024,88.,THRONE AND LIBERTY,0%,Free,67.37%,01 Oct,"150,661","9,455","336,300"
2024,99.,Path of Exile 2,0%,Rp 478185,69.45%,06 Dec,"342,421","10,717","578,569"
2024,101.,Farming Simulator 25,0%,Rp 544000,82.29%,12 Nov,"93,915","10,543","135,970"
2024,122.,Call of Duty®: Black Ops 6,0%,Rp 1040000,46.15%,25 Oct,—,—,—
2024,127.,Microsoft Flight Simulator 2024,0%,Rp 1040000,47.08%,19 Nov,"40,515","1,577","24,863"
2024,134.,The First Descendant,0%,Free,56.37%,30 Jun,"259,588","5,408","264,860"
2024,141.,Orebound,-50%,Rp 103499,72.85%,24 Oct,"12,901",341,926
2024,142.,Sons Of The Forest,0%,Rp 245999,86.87%,22 Feb,"582,775","4,777","414,257"
2024,145.,Satisfactory,0%,Rp 299999,96.03%,10 Sep,"384,155","19,540","186,158"
2024,157.,ELDEN RING Shadow of the Erdtree,0%,Rp 599000,69.68%,20 Jun,—,—,—
2024,163.,Nine Sols,-30%,Rp 172199,93.07%,29 May,"80,990",858,"6,568"
2024,168.,Enshrouded,0%,Rp 239999,85.20%,24 Jan,"345,809","7,366","160,405"
2024,171.,Balatro,0%,Rp 130999,96.70%,20 Feb,"92,946","15,851","43,905"
2024,174.,7 Days to Die,0%,Rp 338999,87.77%,25 Jul,"507,171","34,469","125,419"
2024,175.,Stolen Realm,-60%,Rp 66399,82.36%,08 Mar,"27,111","1,143","1,506"
2024,176.,WARNO,-50%,Rp 239500,78.95%,23 May,"77,670",922,"3,948"
2024,182.,No Rest for the Wicked,-30%,Rp 231000,77.31%,18 Apr,"148,920",690,"36,276"
2024,189.,Gray Zone Warfare,0%,Rp 399000,67.44%,30 Apr,"223,189","4,648","72,548"
2024,201.,"Warhammer 40,000: Space Marine 2",0%,Rp 549000,82.06%,09 Sep,"304,576","5,448","225,690"
