Tahun Rilis,Rank,Nama Game,Diskon,Harga,Rating,Tanggal Rilis,Followers,Online Saat Ini,Peak Pemain
2019,1155.,Children of Morta,-80%,Rp 24449,86.85%,03 Sep,"98,088",194,"4,381"
2019,1182.,Blush Blush,0%,Free,84.52%,04 Apr,"12,380",842,"2,581"
2019,1191.,Barony: Myths & Outcasts,0%,Rp 37999,84.96%,23 Feb,—,—,—
2019,1192.,theHunter: Call of the Wild™ - High-Tech Hunting Pack,-60%,Rp 15199,67.64%,18 Sep,—,—,—
2019,1221.,Valve Index® Base Station,0%,—,—,28 Jun,"6,516",—,—
2019,1280.,Barony: Legends & Pariahs,0%,Rp 37999,81.05%,27 Dec,—,—,—
2019,1282.,SpaceEngine,0%,Rp 245000,93.26%,11 Jun,"76,367",136,596
2019,1321.,Gears 5,0%,Rp 424500,69.37%,10 Sep,"74,828",372,"10,196"
2019,1340.,theHunter: Call of the Wild™ - Trophy Lodge Spring Creek Manor,-60%,Rp 15199,65.92%,11 Apr,—,—,—
2019,1355.,theHunter: Call of the Wild™ - Weapon Pack 2,-60%,Rp 15199,72.24%,28 Feb,—,—,—
2019,1370.,Steel Division 2,0%,Rp 479000,77.66%,20 Jun,"65,813",216,"2,260"
2019,1374.,Blood Trail,0%,Rp 119999,78.64%,27 Mar,"12,788",68,506
2019,1380.,Muse Dash,0%,Rp 37000,88.84%,20 Jun,"142,183",412,"11,478"
2019,1411.,Devil May Cry 5,0%,Rp 423999,94.72%,08 Mar,"304,476","1,816","88,894"
2019,1435.,Arma 3 Contact,0%,Rp 330000,66.83%,25 Jul,—,—,—
2019,1439.,The Sims™ 4 StrangerVille,-30%,Rp 167300,65.11%,26 Feb,—,—,—
2019,1449.,Sniper Ghost Warrior Contracts,-90%,Rp 23999,71.46%,22 Nov,"52,829",176,"3,923"
2019,1512.,Euro Truck Simulator 2 - Road to the Black Sea,0%,Rp 162999,83.29%,05 Dec,—,—,—
2019,1520.,Plants vs. Zombies: Battle for Neighborville™,-70%,Rp 113700,69.93%,18 Oct,"60,966",103,"4,022"
2019,1548.,60 Seconds! Reatomized,0%,Rp 90999,91.99%,25 Jul,"29,192",140,"1,251"
2019,1565.,They Are Billions,0%,Rp 219000,83.75%,18 Jun,"276,710","1,849","22,395"
